Label,Cleaned Label,Brand,QuarterYear,UID,Preference Ratio,Relative Buzz,Consideration,Consideration-base,Rejectors,Scaled_Preference Ratio,Scaled_Relative Buzz,Scaled_Consideration
Metro (1.19),Metro Bank (Q1-19),Metro Bank,Q1-19,Q1-19_Metro Bank,0.31,0.07,0.15,3386,0.09,-1.3,-0.4,-0.4
Metro (2.19),Metro Bank (Q2-19),Metro Bank,Q2-19,Q2-19_Metro Bank,0.29,0.03,0.15,3294,0.11,-1.5,-1.2,-0.5
Metro (3.19),Metro Bank (Q3-19),Metro Bank,Q3-19,Q3-19_Metro Bank,0.3,0.05,0.15,3081,0.11,-1.4,-0.8,-0.4
Metro (4.19),Metro Bank (Q4-19),Metro Bank,Q4-19,Q4-19_Metro Bank,0.3,0.06,0.15,3031,0.11,-1.4,-0.7,-0.4
Metro (1.20),Metro Bank (Q1-20),Metro Bank,Q1-20,Q1-20_Metro Bank,0.26,0.05,0.17,3107,0.11,-1.9,-0.8,-0.3
Metro (2.20),Metro Bank (Q2-20),Metro Bank,Q2-20,Q2-20_Metro Bank,0.33,0.07,0.17,3023,0.11,-1.1,-0.4,-0.3
Metro (3.20),Metro Bank (Q3-20),Metro Bank,Q3-20,Q3-20_Metro Bank,0.29,0.05,0.16,3230,0.10,-1.6,-0.8,-0.4
Metro (4.20),Metro Bank (Q4-20),Metro Bank,Q4-20,Q4-20_Metro Bank,0.28,0.08,0.16,3275,0.11,-1.7,-0.2,-0.3
Metro (1.21),Metro Bank (Q1-21),Metro Bank,Q1-21,Q1-21_Metro Bank,0.34,0.07,0.16,3170,0.12,-1,-0.4,-0.4
Metro (2.21),Metro Bank (Q2-21),Metro Bank,Q2-21,Q2-21_Metro Bank,0.33,0.08,0.16,3152,0.11,-1,-0.3,-0.3
Metro (3.21),Metro Bank (Q3-21),Metro Bank,Q3-21,Q3-21_Metro Bank,0.31,0.07,0.18,2980,0.11,-1.3,-0.4,-0.2
Metro (4.21),Metro Bank (Q4-21),Metro Bank,Q4-21,Q4-21_Metro Bank,0.31,0.07,0.16,2954,0.11,-1.4,-0.4,-0.4
Metro (1.22),Metro Bank (Q1-22),Metro Bank,Q1-22,Q1-22_Metro Bank,0.28,0.06,0.15,3233,0.11,-1.7,-0.6,-0.5
Metro (2.22),Metro Bank (Q2-22),Metro Bank,Q2-22,Q2-22_Metro Bank,0.3,0.08,0.16,3214,0.11,-1.4,-0.3,-0.4
Metro (3.22),Metro Bank (Q3-22),Metro Bank,Q3-22,Q3-22_Metro Bank,0.35,0.07,0.14,3292,0.10,-0.9,-0.4,-0.5
Metro (4.22),Metro Bank (Q4-22),Metro Bank,Q4-22,Q4-22_Metro Bank,0.35,0.08,0.16,3178,0.11,-0.8,-0.3,-0.4
Metro (1.23),Metro Bank (Q1-23),Metro Bank,Q1-23,Q1-23_Metro Bank,0.35,0.06,0.16,3165,0.10,-0.9,-0.6,-0.4
Metro (2.23),Metro Bank (Q2-23),Metro Bank,Q2-23,Q2-23_Metro Bank,0.35,0.08,0.15,3151,0.11,-0.8,-0.2,-0.4
Metro (3.23),Metro Bank (Q3-23),Metro Bank,Q3-23,Q3-23_Metro Bank,0.33,0.07,0.16,3189,0.10,-1.1,-0.4,-0.4
Metro (4.23),Metro Bank (Q4-23),Metro Bank,Q4-23,Q4-23_Metro Bank,0.4,0.02,0.13,3248,0.11,-0.2,-1.3,-0.5
Metro (1.24),Metro Bank (Q1-24),Metro Bank,Q1-24,Q1-24_Metro Bank,0.33,0.05,0.14,3265,0.12,-1,-0.8,-0.5
Metro (2.24),Metro Bank (Q2-24),Metro Bank,Q2-24,Q2-24_Metro Bank,0.37,0.04,0.14,3221,0.11,-0.5,-1,-0.5
TSB (1.19),TSB (Q1-19),TSB,Q1-19,Q1-19_TSB,0.32,0.04,0.3,3390,0.10,-1.2,-1,0.6
